"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"152","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","79319.70886188222","135.57351458362902"
"159","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","76718.2112674299","134.5158175277566"
"162","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","75964.62660441262","284.78939323619056"
"163","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","76742.25768764457","54.354133880562884"
"164","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","75447.42918855189","128.74962441250065"
"165","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","68889.07175564814","212.97057252200656"
"161","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","84291.19647234703","140.55736196268947"
"160","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","83178.29201096008","178.4382504815656"
"166","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","78111.90810301916","388.57301835794664"
"167","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","77525.29085337036","145.61129111360123"
"169","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","64903.626244553394","484.42032278730835"
"170","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","76852.14840812264","433.4369713051594"
"172","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","88668.38104836491","180.37114018519318"
"173","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","70457.56361303081","265.76315788068115"
"174","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","80807.8570676354","98.1208034067409"
"175","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","78394.80545575693","214.1556059202277"
"176","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","71921.18109129164","606.5309444309215"
"171","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","70804.83439594731","358.1114833944713"
"178","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","74239.5140835956","281.6181947228178"
"179","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","74842.78419189017","113.69966305174562"
"168","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","74316.2583360634","113.13937278261359"
"180","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","87488.26678784446","250.95717609180744"
"181","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","65986.4609765418","223.18213727589696"
"177","0.1","""exp utility""","0.01","0.08","10","""neighbors""","1","25","100","1","""wealth""","24","78467.33815327792","308.29017322604466"
