"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"138","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","97074.0045643228","5868.794267099845","0.03473857956403439"
"139","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","98227.6481430747","6290.975452490272","0.03518543186487664"
"140","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","98298.302823283","5728.697508053633","0.03319345220657246"
"143","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","107503.99776731431","6138.857864540494","0.030367877201750045"
"142","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","103386.6151990137","5593.751852354075","0.030281915034010707"
"144","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","108632.12935299361","6088.011595965801","0.0340662808576387"
"141","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","112441.6057625297","6312.980097348266","0.03148697781221494"
"145","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","98152.56042360947","6335.6785196867595","0.03364132282082616"
"146","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","115320.23202405413","6381.35388517487","0.031847734831276335"
"147","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","105645.57524785759","6271.512157150295","0.03211456269813579"
"148","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","107363.79671074376","6319.215852100191","0.030890722393109506"
"149","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","114933.14343390353","6240.057084344019","0.03288804283979857"
"150","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","122155.34971237283","6038.224497338814","0.027736706180408924"
"151","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","107434.41565300152","6349.148065248662","0.0349161736366125"
"153","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","114257.43192572797","6494.1403532407685","0.033788851540314135"
"154","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","108152.05438286839","6406.628952835377","0.03386655532771777"
"152","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","111802.60462799823","5988.61012182562","0.029521803999673808"
"155","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","103553.98579390498","6123.3548089294645","0.03412661360169303"
"156","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","104129.00677054109","6305.2081244808","0.033751544728095446"
"157","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","111231.28224468722","6154.008222420837","0.030219867908972676"
"159","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","106173.87989099059","6443.622625604785","0.033690435122913726"
"158","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","109125.2677039834","6266.458673429805","0.034466408842795955"
"160","25","""neighbors""","10","0.01","1","""exp utility""","100","0.85","0.1","""wealth""","24","100897.67380500842","6509.249325808985","0.03755985487506866"
"161","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","126363.58625942587","6758.212500567461","0.03207984198004666"
"163","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","126526.92427523852","6641.514870125146","0.03189398792328348"
"164","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","108859.61460030319","6483.514205767784","0.03480833872871317"
"162","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","114429.71059064129","6671.4438392252805","0.03226875695415419"
"165","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","107068.25130091635","6630.266455769638","0.032812228159720506"
"169","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","108926.87575088846","6787.992229570507","0.033281068069869815"
"168","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","125145.16880931151","6746.483581411999","0.032844142588004416"
"166","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","117947.31366675123","6747.320003930338","0.035267535060002714"
"167","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","119926.35168510787","6638.979950648629","0.032622501584610226"
"170","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","128328.75109914345","6829.568043268573","0.029469048755537727"
"171","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","119644.18159852356","6430.069525457837","0.0316506809732004"
"173","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","125124.11848440154","6949.384088467486","0.03067159814487346"
"172","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","103778.97815360637","6290.570070099167","0.037148233959563494"
"174","25","""neighbors""","10","0.01","1","""exp utility""","100","0.9","0.1","""wealth""","24","117865.91152107152","6702.338461013799","0.03217855286944448"
